type	action	issue	page	recipe
H	2006	recipe index.	byyear
C	c	ingredient:	 anchovy
r	l	Dec	171	anchovy & pesto cigars
r	l	May	36	broccoli & anchovy orecchiette
r	l	Jul	77	broccolini with mozzarella, cured lemon and anchovies
r	l	Jul	110	veal fillet with white anchovies on potato puree
C	c	ingredient:	 apple
r	l	Jun	9	apple & berry pie with proper custard
r	l	Nov	154	apple dried cherry & almond loaf
r	l	Jul	31	pork chops with prosciutto, apple and Stilton
r	l	Jun	137	pork cutlets with roasted fennel and apple
r	l	Jul	64	rack of pork with cider apples
C	c	ingredient:	 artichokes
r	l	Nov	122	artichoke arancini
r	l	Feb	136	cannellini & artichoke dip
r	l	May	88	farfalle with marinated artichokes
r	l	May	74	peas and artichokes braised in olive oil and garlic
C	c	ingredient:	 asparagus
r	l	Nov	207	asparagus & cheese strata
r	l	Mar	100	asparagus & grapefruit salad with cashews and mint
r	l	Sep	119	asparagus, egg & anchovy salad
r	l	Dec	113	asparagus with leek & ham hollandaise
r	l	Apr	56	chicken, asparagus & baby corn stir-fry with fresh black fungus
r	l	Oct	124	tuna tataki with shaved asparagus
C	c	ingredient:	 avocado
r	l	Sep	142	avocado, prawn & silverbeet salad with toasted rye bread
r	l	Oct	128	avocado, pumpkin seed & spinach salad
r	l	Jun	31	baked avocado with prawns & cheddar
r	l	Feb	127	chilled avocado & coconut soup
r	l	Jun	78	chilli beef on avocado
r	l	Sep	94	guacamole soup
r	l	May	82	Italianified guacamole
C	c	ingredient:	 bacon
r	l	Oct	92	bacon & poached egg salad
r	l	Jul	120	bacon-wrapped chicken legs stuffed baked beans and bacon
r	l	Jul	84	cheesy spaghetti with bacon & peas
r	l	Apr	37	pancetta hash with poached eggs and apple salad
r	l	Nov	125	pancetta-wrapped barbecue prawns
r	l	Feb	118	pea, pancetta & soft cheese tart
r	l	Apr	90	pesto, bacon & pine nut gnocchi
r	l	Nov	31	roasted fish wrapped in smoked bacon with lemon mayonnaise & asparagus
r	l	Jul	142	tortellini with bacon, tomato, chilli and baby spinach
r	l	Oct	96	wakame coriander sauce, pancetta & soba
C	c	ingredient:	 banana
r	l	Feb	70	banana & passionfruit smoothie
r	l	Mar	100	banana fritters with caramel sauce and vanilla ice cream
r	l	Mar	44	upside-down caramel banana cake
C	c	ingredient:	 beans
r	l	Jul	120	baked beans and bacon
r	l	Nov	166	broad beans with mint, ricotta and crisp prosciutto
r	l	Dec	226	butter bean and corn salad with wholegrain mustard dressing
r	l	Apr	141	chilli tuna & borlotti bean salad
r	l	Jul	96	duck cassoulet
r	l	Mar	74	edamame bean & prosciutto salad
r	l	Jun	141	four-bean soup with barley
r	l	Oct	134	linguine with broad beans, bacon and thyme
r	l	Apr	74	mixed beans with garlic & rosemary cream
r	l	Nov	126	peas & beans with pistachio pesto
r	l	May	106	prawn & cannellini bean salad
r	l	Sep	104	prawns and green beans with lemon & dill butter
r	l	Mar	42	sausages with real baked beans
r	l	Nov	150	spicy bean & chilli fajitas
r	l	Jul	98	three-bean salad
C	c	ingredient:	 beef
r	l	Feb	142	balsamic beef & glass noodle salad with rocket and parmesan
r	l	Dec	124	beef & beet salad
r	l	May	165	beef braciole (Italian beef rolls)
r	l	Jun	38	beef braised in red wine
r	l	Nov	108	beef fillet niçoise
r	l	Jul	88	beef fillet with quick red-wine sauce
r	l	Apr	137	beef gyoza with black vinegar dipping sauce
r	l	Jul	78	beef poached in red wine
r	l	Mar	40	beef & vegetable stir-fry
r	l	Mar	86	best steak salad
r	l	Jun	78	chilli beef on avocado
r	l	Sep	94	chilli for a crowd
r	l	Feb	105	chilli-salt scotch fillet & roasted chats with rocket & green bean salad
