category	recipe
ingredient:	 apple
ingredient:	 artichokes
ingredient:	 asparagus
ingredient:	 avocado
ingredient:	 banana
ingredient:	 beans
ingredient:	 beef
ingredient:	 beetroot
ingredient:	 berries
category:	biscuits and bars
ingredient:	 breakfast
category:	cakes and muffins
ingredient:	 capsicum
ingredient:	 caramel
ingredient:	 cheese
ingredient:	 chermoula
ingredient:	 cherries
ingredient:	 chicken
ingredient:	 chickpea
category:	chilled desserts
ingredient:	 chilli
ingredient:	 chocolate
ingredient:	 coconut
ingredient:	 corn
ingredient:	 couscous
category:	crepes, pancakes and waffles
category:	curries
category:	desserts
category:	drinks
ingredient:	 eggplant
category:	eggs
ingredient:	 fennel
ingredient:	 figs
category:	fish
ingredient:	 fruit
ingredient:	 ginger
category:	ham and bacon
ingredient:	 jellies
ingredient:	 kumara
ingredient:	 lamb
ingredient:	 lemon
ingredient:	 lentils
ingredient:	 lime
ingredient:	 mushroom
ingredient:	 noodles
ingredient:	 nuts
ingredient:	 olives
ingredient:	 oranges
ingredient:	 pasta
ingredient:	 peas
ingredient:	 pears
category:	pies and pastries
category:	plums and prunes
ingredient:	 pork
ingredient:	 potato
category:	poultry and game
ingredient:	 pumpkin
ingredient:	 quince
ingredient:	 quinoa
ingredient:	 rhubarb
ingredient:	 rice
category:	salads
category:	sandwiches, rolls, wraps and toast
ingredient:	 sausage
category:	seafood
category:	soups, stews and broths
ingredient:	 spinach
ingredient:	 terrines
ingredient:	 tofu
ingredient:	 tomato
ingredient:	 veal
ingredient:	 vegetables
ingredient:	 zucchini
