category	recipe
ingredient:	 Almonds
ingredient:	 Anchovies
ingredient:	 Apples
ingredient:	 Apricots
ingredient:	 Artichokes, globe
ingredient:	 Artichokes, Jerusalem
ingredient:	 Asparagus
ingredient:	 Avocados
ingredient:	 Bacon
ingredient:	 Bananas
ingredient:	 Barley
ingredient:	 Basil
ingredient:	 Beans, dried and green
ingredient:	 Beansprouts
ingredient:	 Beef
ingredient:	 Beetroot
ingredient:	 Berries
category:	Biscuits, cookies and slices
ingredient:	 Blue cheese
ingredient:	 Bocconcini and mozzarella
ingredient:	 Bok choy
category:	Breads and yeast baking
category:	Brining
ingredient:	 Brussels sprouts
category:	Burgers, filled breads, sandwiches and wraps
category:	Butters, flavoured
ingredient:	 Cabbage
category:	Cakes and loaves
ingredient:	 Calamari and squid
ingredient:	 Capers
ingredient:	 Capsicums
ingredient:	 Caraway seeds
ingredient:	 Carrots
ingredient:	 Cashew nuts
ingredient:	 Caulifower
ingredient:	 Cavolo nero
ingredient:	 Celeriac
ingredient:	 Celery
category:	       Cheese 
ingredient:	 Cherries
ingredient:	 Chicken
ingredient:	 Chickpeas
ingredient:	 Chillies
ingredient:	 Chocolate
ingredient:	 Chorizo
category:	Chutneys, pickles and relishes
ingredient:	 Coconut
ingredient:	 Coffee
ingredient:	 Coriander
ingredient:	 Corn
category:	Cornichons and gherkins
ingredient:	 Couscous
ingredient:	 Cranberries
ingredient:	 Crème fraîche
ingredient:	 Cucumber
ingredient:	 Dates
category:	Desserts and puddings 
category:	Dressings and mayonnaise
ingredient:	 Drinks
ingredient:	 Duck
ingredient:	 Eggplants
ingredient:	 Eggs
ingredient:	 Edamame beans
ingredient:	 Fennel
ingredient:	 Feta
ingredient:	 Figs
category:	Fish 
ingredient:	 Garlic
ingredient:	 Ginger
ingredient:	 Grapefruit
ingredient:	 Grapes
ingredient:	 Ham
ingredient:	 Hazelnuts
ingredient:	 Honey
category:	Ice cream and frozen desserts
ingredient:	 Kumara
ingredient:	 Lamb
ingredient:	 Leeks
ingredient:	 Lemongrass
ingredient:	 Lemons
ingredient:	 Lentils
ingredient:	 Lettuce
ingredient:	 Limes
ingredient:	 Mangos
category:	Marinades
ingredient:	 Mascarpone
ingredient:	 Melons
ingredient:	 Meringue
ingredient:	 Mint
ingredient:	 Mushrooms
ingredient:	 Mussels
ingredient:	 Mustard
ingredient:	 Nectarines
ingredient:	 Noodles
ingredient:	 Olives
ingredient:	 Onions and shallots
ingredient:	 Oranges
category:	Pancakes and hotcakes
ingredient:	 Pancetta
ingredient:	 Papaya
ingredient:	 Parsley
ingredient:	 Parsnips
ingredient:	 Passionfruit
category:	Pasta and gnocchi 
category:	Pastries
ingredient:	 Peaches
ingredient:	 Peanuts
ingredient:	 Pears
ingredient:	 Peas, dried
ingredient:	 Peas, green
category:	Pies
ingredient:	 Pine nuts
ingredient:	 Pineapple
ingredient:	 Pistachios
category:	Pizzas and flatbreads
ingredient:	 Plums
ingredient:	 Polenta
ingredient:	 Pomegranate molasses
ingredient:	 Poppy seeds
ingredient:	 Pork
ingredient:	 Potatoes
ingredient:	 Prawns
category:	Preserves 
ingredient:	 Prosciutto
ingredient:	 Pumpkin
ingredient:	 Pumpkin seeds
ingredient:	 Quinces
ingredient:	 Quinoa
ingredient:	 Rabbit
ingredient:	 Radishes
ingredient:	 Rhubarb
ingredient:	 Rice
ingredient:	 Ricotta
ingredient:	 Rocket
ingredient:	 Rosemary
ingredient:	 Saffron
ingredient:	 Sage
category:	Salads, fruit
category:	Salads, meat and fish
category:	Salads, vegetable
ingredient:	 Salami
ingredient:	 Salmon
category:	Sauces, salsas and dips 
category:	Sauces, sweet
category:	     Sausages 
category:	     Seafood 
ingredient:	 Semolina
ingredient:	 Silverbeet
category:	Small food
category:	Soups
ingredient:	 Spinach
ingredient:	 Tamarillos
ingredient:	 Tarragon
category:	Tarts, savoury
category:	Tarts, sweet
ingredient:	 Tofu
ingredient:	 Tomatoes
ingredient:	 Tuna
ingredient:	 Turnips
category:	Vegetables 
ingredient:	 Walnuts
ingredient:	 Watercress
ingredient:	 Watermelon
ingredient:	 Witlof
ingredient:	 Yoghurt
ingredient:	 Zucchini
